"Serial number","Datum ID","Session ID","Data format version","Firmware version","App version","Date / time local","Timezone offset (mins)","Date local (yyyy/MM/dd)","Time local (hh:mm:ss)","GPS lat (ddmm.mmmmm)","GPS long (dddmm.mmmmm)","GPS speed (km/h)","GPS sat count","Timebase (s)","Status","Battery remaining (%)","Accel X","Accel Y","Accel Z","Tape position","Flow setpoint (mL/min)","Flow total (mL/min)","Flow1 (mL/min)","Flow2 (mL/min)","Sample temp (C)","Sample RH (%)","Sample dewpoint (C)","Internal pressure (Pa)","Internal temp (C)","Optical config","UV Sen1","UV Sen2","UV Ref","UV ATN1","UV ATN2","UV K","Blue Sen1","Blue Sen2","Blue Ref","Blue ATN1","Blue ATN2","Blue K","Green Sen1","Green Sen2","Green Ref","Green ATN1","Green ATN2","Green K","Red Sen1","Red Sen2","Red Ref","Red ATN1","Red ATN2","Red K","IR Sen1","IR Sen2","IR Ref","IR ATN1","IR ATN2","IR K","UV BC1","UV BC2","UV BCc","Blue BC1","Blue BC2","Blue BCc","Green BC1","Green BC2","Green BCc","Red BC1","Red BC2","Red BCc","IR BC1","IR BC2","IR BCc","Readable status"
"MA200-0416","21923","62","1","1.10","1.4","2023-05-10T08:50:30","120","2023/05/10","08:50:30","-15.795667231082916","35.00287816626951","0.0","12","30","66","91","-14076","-21736","3296","7","150","149.89","115.75","34.14","23.36","55.9","14.04","90476","22.63","DUALSPOT-UV-BLUE-GREEN-RED-IR","862980","742719","908622","0.000000","0.000000","0.000000","812328","926767","766317","0.000000","0.000000","0.000000","905172","926750","817034","0.000000","0.000000","0.000000","886193","943116","866502","0.000000","0.000000","0.000000","748626","860525","951745","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","21924","62","1","1.10","1.4","2023-05-10T08:51:00","120","2023/05/10","08:51:00","-15.795644998550415","35.002872666111216","0.0","12","30","66","90","-14084","-21868","3276","7","150","149.63","115.47","34.16","23.39","55.7","14.02","90484","22.81","DUALSPOT-UV-BLUE-GREEN-RED-IR","860178","740623","906206","0.000000","0.000000","0.000000","809264","923452","763679","0.000000","0.000000","0.000000","902185","923855","814575","0.000000","0.000000","0.000000","884149","941069","864712","0.000000","0.000000","0.000000","751038","863507","955099","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","21925","62","1","1.10","1.4","2023-05-10T08:51:30","120","2023/05/10","08:51:30","-15.795634090900421","35.00287799956277","0.0","12","30","66","90","-13923","-21552","3287","7","150","149.95","115.59","34.36","23.44","55.6","14.05","90484","22.94","DUALSPOT-UV-BLUE-GREEN-RED-IR","860833","741460","907347","0.000000","0.000000","0.000000","810045","924493","764619","0.000000","0.000000","0.000000","902720","924532","815200","0.000000","0.000000","0.000000","885017","942102","865663","0.000000","0.000000","0.000000","747649","859682","950895","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","21926","62","1","1.10","1.4","2023-05-10T08:52:00","120","2023/05/10","08:52:00","-15.795634508132935","35.00287649943493","0.0","12","30","66","90","-14012","-21844","3371","7","150","149.70","115.79","33.91","23.50","55.5","14.07","90488","23.00","DUALSPOT-UV-BLUE-GREEN-RED-IR","856715","738067","903303","0.000000","0.000000","0.000000","807310","921512","762208","0.000000","0.000000","0.000000","904196","926159","816703","0.000000","0.000000","0.000000","880328","937164","861172","0.000000","0.000000","0.000000","749053","861366","952787","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","Start up"
"MA200-0416","21927","62","1","1.10","1.4","2023-05-10T08:52:30","120","2023/05/10","08:52:30","-15.795638859272003","35.00287816626951","0.1","12","30","64","90","-13940","-21702","3397","7","150","149.94","115.79","34.14","23.54","55.5","14.10","90488","23.06","DUALSPOT-UV-BLUE-GREEN-RED-IR","860854","741824","907995","0.000000","0.000000","0.000000","810393","925174","765288","0.000000","0.000000","0.000000","901271","923279","814177","0.000000","0.000000","0.000000","884396","941631","865280","0.000000","0.000000","0.000000","751098","863783","955513","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","",""
"MA200-0416","21928","62","1","1.10","1.4","2023-05-10T08:53:00","120","2023/05/10","08:53:00","-15.795644164085388","35.00286733312532","0.0","12","30","64","90","-14108","-21768","3716","7","150","149.53","116.04","33.48","23.59","55.4","14.13","90488","23.19","DUALSPOT-UV-BLUE-GREEN-RED-IR","862238","743161","909707","0.029324","0.008388","0.000000","806489","920819","761701","0.019020","0.006568","0.000000","902140","924258","815056","0.013703","0.003582","0.000000","886051","943467","866995","0.010937","0.002336","0.000000","748087","860388","951747","0.008417","0.002664","0.000000","1484","1471","1484","1215","1454","1215","980","888","980","945","700","945","1013","1111","1013",""
"MA200-0416","21929","62","1","1.10","1.4","2023-05-10T08:53:30","120","2023/05/10","08:53:30","-15.796045482158661","35.00283283274621","0.5","12","30","64","90","-15656","-20884","3304","7","150","150.24","116.09","34.14","23.64","55.3","14.16","90484","23.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","856816","738715","904332","0.063991","0.018110","0.000000","807309","921901","762655","0.036287","0.011205","0.000000","903014","925273","815976","0.027871","0.007271","0.000000","881050","938220","862170","0.021684","0.004917","0.000000","748769","861215","952671","0.017791","0.004419","0.000000","1753","1672","1753","1102","1006","1102","1013","897","1013","928","758","928","1128","717","1128",""
"MA200-0416","21930","62","1","1.10","1.4","2023-05-10T08:54:00","120","2023/05/10","08:54:00","-15.796115219593048","35.00287849968299","0.6","12","30","64","89","-12808","-22108","3423","7","150","149.46","116.29","33.17","23.68","55.2","14.15","90488","23.25","DUALSPOT-UV-BLUE-GREEN-RED-IR","858619","740426","906528","0.098204","0.027418","0.000000","809033","923969","764406","0.058657","0.018537","0.000000","904061","926412","817032","0.043231","0.011580","0.000000","882829","940152","864041","0.034421","0.009364","0.000000","749776","862460","954101","0.029243","0.007740","0.000000","1727","1648","1727","1425","1638","1425","1096","1078","1096","1098","1345","1098","1375","1398","1375",""
"MA200-0416","21931","62","1","1.10","1.4","2023-05-10T08:54:30","120","2023/05/10","08:54:30","-15.796113133430481","35.00290549965575","0.1","12","30","64","89","-13272","-22388","3300","7","150","150.23","116.59","33.64","23.73","54.9","14.12","90488","23.31","DUALSPOT-UV-BLUE-GREEN-RED-IR","860526","742312","908941","0.140990","0.039926","0.000000","810209","925500","765717","0.083035","0.024753","0.000000","900858","923298","814311","0.063687","0.016200","0.000000","878960","936186","860395","0.050115","0.011247","0.000000","751205","864196","956043","0.043640","0.010457","0.000000","2155","2184","2155","1550","1369","1550","1456","1140","1456","1350","561","1350","1725","1128","1725",""
"MA200-0416","21932","62","1","1.10","1.4","2023-05-10T08:55:00","120","2023/05/10","08:55:00","-15.796109974384308","35.002892166376114","0.1","12","30","64","89","-13023","-22336","2776","7","150","149.63","116.75","32.89","23.79","54.6","14.09","90488","23.44","DUALSPOT-UV-BLUE-GREEN-RED-IR","855095","737834","903550","0.179323","0.049545","0.000000","806109","921020","762021","0.106287","0.031208","0.000000","901420","923998","814971","0.081932","0.020640","0.000000","880796","938242","862329","0.064808","0.015086","0.000000","748027","860629","952117","0.058206","0.014928","0.000000","1928","1717","1928","1476","1455","1476","1297","1121","1297","1262","1171","1262","1742","1899","1742",""
