directory,file_name,variable_name,variable_type,description
data/,df_aae.rda,serial_number,character,serial number of the MA200 monitoring from which the data is collected
data/,df_aae.rda,session_id,double,session number of the MA200 monitor (each monitoring session is automatically given a number in the output file of MA200 monitoring data)
data/,df_aae.rda,date,double,date of monitoring
data/,df_aae.rda,time,double,time of monitoring
data/,df_aae.rda,lat,double,latitude of location of monitoring
data/,df_aae.rda,long,double,longitude of location of monitoring
data/,df_aae.rda,uv_bcc,double,concentration of black carbon at the UV (ultravoilet) wavelength channel in ng/m3
data/,df_aae.rda,blue_bcc,double,concentration of black carbon at the Blue wavelength channel in ng/m3
data/,df_aae.rda,ir_bcc,double,concentration of black carbon at the IR (infrared) wavelength channel in ng/m3
data/,df_aae.rda,uv_babs,double,absorption coefficient of black carbon at the UV (ultravoilet) wavelength channel
data/,df_aae.rda,blue_babs,double,absorption coefficient of black carbon at the Blue wavelength channel
data/,df_aae.rda,ir_babs,double,absorption coefficient of black carbon at the IR (infrared) wavelength channel
data/,df_aae.rda,date_time,double,date and time of monitoring
data/,df_aae.rda,day_type,character,type of day of monitoring - weekend or weeday 
data/,df_aae.rda,id,double,id is a unique identifier given to every monitoring session and experiment given in the data structure
data/,df_aae.rda,date_start,double,starting date of the experiment
data/,df_aae.rda,date_end,double,end date of the experiment
data/,df_aae.rda,start_time,double,starting time of the experiment
data/,df_aae.rda,end_time,double,end time of the experiment
data/,df_aae.rda,exp_type,character,type of experiment
data/,df_aae.rda,emission_source,character,source of emission
data/,df_collocation.rda,serial_number,character,serial number of the MA200 monitoring from which the data is collected
data/,df_collocation.rda,session_id,double,session number of the MA200 monitor (each monitoring session is automatically given a number in the output file of MA200 monitoring data)
data/,df_collocation.rda,date,double,date of monitoring
data/,df_collocation.rda,time,double,time of monitoring
data/,df_collocation.rda,lat,double,latitude of location of monitoring
data/,df_collocation.rda,long,double,longitude of location of monitoring
data/,df_collocation.rda,uv_bcc,double,concentration of black carbon at the UV (ultravoilet) wavelength channel in ng/m3
data/,df_collocation.rda,blue_bcc,double,concentration of black carbon at the Blue wavelength channel in ng/m3
data/,df_collocation.rda,ir_bcc,double,concentration of black carbon at the IR (infrared) wavelength channel in ng/m3
data/,df_collocation.rda,uv_babs,double,absorption coefficient of black carbon at the UV (ultravoilet) wavelength channel
data/,df_collocation.rda,blue_babs,double,absorption coefficient of black carbon at the Blue wavelength channel
data/,df_collocation.rda,ir_babs,double,absorption coefficient of black carbon at the IR (infrared) wavelength channel
data/,df_collocation.rda,date_time,double,date and time of monitoring
data/,df_collocation.rda,day_type,character,type of day of monitoring - weekend or weeday 
data/,df_collocation.rda,id,double,id is a unique identifier given to every monitoring session and experiment given in the data structure
