A2.Location,burner,latitude,longitude
Ndirande,No,-15.76980618,35.03748695
Ndirande,Yes,-15.7693052,35.0374645
Ndirande,No,-15.7697493,35.0373765
Ndirande,Yes,-15.7692671,35.0380124
Ndirande,No,-15.769547,35.0387502
Ndirande,No,-15.7693334,35.038872
Ndirande,No,-15.7704541,35.0398201
Ndirande,No,-15.7707693,35.0402537
Ndirande,Yes,-15.7705914,35.0408525
Ndirande,No,-15.7705592,35.0411563
Namiwawa,No,-15.7809132,34.9942946
Namiwawa,No,-15.7802782,34.9942962
Namiwawa,No,-15.7801464,34.9941556
Namiwawa,Yes,-15.7792829,34.9941443
Namiwawa,No,-15.7800833,34.9924834
Namiwawa,Yes,-15.7799953,34.9920974
Namiwawa,Yes,-15.7798622,34.9910967
Namiwawa,No,-15.7797603,34.9903993
Namiwawa,No,-15.7789629,34.9894192
Namiwawa,No,-15.7799679,34.9891907
Namiwawa,No,-15.78076669,34.99421143
Namiwawa,Yes,-15.78034197,34.99411786
Namiwawa,No,-15.77903004,34.99420961
Namiwawa,No,-15.77999312,34.99421471
Namiwawa,No,-15.78012779,34.99231801
Namiwawa,No,-15.77995853,34.99209441
Namiwawa,No,-15.77977023,34.99056932
Namiwawa,No,-15.77962303,34.98997112
Namiwawa,No,-15.77940012,34.9893261
Namiwawa,No,-15.78035544,34.98920605
Namiwawa,Yes,-15.77805422,34.99118058
Namiwawa,No,-15.77721588,34.99123227
Namiwawa,No,-15.77674698,34.99122866
Namiwawa,Yes,-15.77608222,34.99143412
Namiwawa,No,-15.77525132,34.99109027
Namiwawa,Yes,-15.77516299,34.99092685
Namiwawa,No,-15.77460768,34.99076325
Namiwawa,No,-15.77426051,34.9907198
Namiwawa,No,-15.77574166,34.99134673
Namiwawa,No,-15.77929696,34.99104969
Namiwawa,Yes,-15.7779054,34.9910974
Bangwe,Yes,-15.7778304,34.9911775
Namiwawa,Yes,-15.777334,34.9911409
Namiwawa,No,-15.7763018,34.9913348
Namiwawa,No,-15.7755495,34.9914115
Namiwawa,No,-15.7751295,34.9909074
Namiwawa,No,-15.7748344,34.9907653
Namiwawa,No,-15.7753151,34.9913869
Namiwawa,No,-15.7764211,34.9908215
Namiwawa,No,-15.7788633,34.9909989
Ndirande,Yes,-15.77329514,35.03775807
Ndirande,Yes,-15.77305713,35.03748407
Ndirande,No,-15.77322551,35.03751364
Ndirande,Yes,-15.77294412,35.03709765
Ndirande,No,-15.77285308,35.03688598
Ndirande,Yes,-15.77246373,35.03696879
Ndirande,No,-15.77232605,35.03701646
Ndirande,Yes,-15.77227557,35.03693013
Ndirande,No,-15.77156306,35.03809678
Ndirande,Yes,-15.77164135,35.03808681
Ndirande,Yes,-15.7733524,35.0377997
Ndirande,No,-15.7728568,35.0395177
Ndirande,No,-15.7729724,35.0386849
Ndirande,No,-15.7727535,35.0390025
Ndirande,No,-15.7728965,35.0391362
Ndirande,Yes,-15.7716729,35.039779
Ndirande,Yes,-15.7716148,35.0401346
Ndirande,No,-15.771223,35.0400605
Ndirande,Yes,-15.7712646,35.0404618
Ndirande,No,-15.7701948,35.0401968
Ndirande,Yes,-15.7702114,35.0396398
Ndirande,Yes,-15.7703776,35.0385743
Ndirande,Yes,-15.7703786,35.0387439
Ndirande,Yes,-15.7701064,35.0383857
Ndirande,Yes,-15.7707162,35.0384272
Ndirande,Yes,-15.7706839,35.0383109
Ndirande,Yes,-15.7718039,35.037848
Ndirande,No,-15.7714714,35.0376942
Ndirande,Yes,-15.7721158,35.0375643
Ndirande,No,-15.7725001,35.0350574
Namiwawa,No,-15.78137403,34.99642702
Namiwawa,Yes,-15.77887074,34.99650471
Namiwawa,No,-15.77773437,34.99576478
Namiwawa,No,-15.77616692,34.99493074
Namiwawa,No,-15.77131012,34.9928988
Namiwawa,No,-15.77059173,34.99146213
Namiwawa,Yes,-15.77134232,34.99043832
Namiwawa,No,-15.77231037,34.99045633
Namiwawa,No,-15.77444772,34.98953641
Namiwawa,No,-15.77558894,34.98932933
Namiwawa,Yes,-15.78178579,34.99644905
Namiwawa,No,-15.77866765,34.99634978
Namiwawa,Yes,-15.77615346,34.99485065
Namiwawa,No,-15.77513786,34.99433438
