id,serial_number,session_id,date_start,date_end,start_time,end_time,exp_type,emission_source,comment
1,MA200-0420,49,2023-05-03,2023-05-03,07:33:00,08:05:00,mobile_monitoring, -,
2,MA200-0420,49,2023-05-03,2023-05-03,08:10:00,08:46:00,mobile_monitoring, -,
3,MA200-0416,54,2023-05-03,2023-05-03,07:55:00,08:41:00,mobile_monitoring, -,
4,MA200-0416,54,2023-05-03,2023-05-03,08:43:00,09:16:00,mobile_monitoring, -,
5,MA200-0416,56,2023-05-04,2023-05-04,07:31:00,07:59:00,mobile_monitoring, -,
6,MA200-0416,56,2023-05-04,2023-05-04,08:04:00,09:03:00,mobile_monitoring, -,
7,MA200-0420,51,2023-05-04,2023-05-04,07:41:00,08:36:00,mobile_monitoring, -,
8,MA200-0420,51,2023-05-04,2023-05-04,08:43:00,09:17:00,mobile_monitoring, -,
9,MA200-0420,53,2023-05-06,2023-05-06,09:04:30,09:49:00,mobile_monitoring, -,
10,MA200-0420,53,2023-05-06,2023-05-06,09:50:00,10:12:00,mobile_monitoring, -,
11,MA200-0420,53,2023-05-06,2023-05-06,10:26:00,10:59:00,mobile_monitoring, -,
12,MA200-0420,53,2023-05-06,2023-05-06,11:09:00,11:27:00,mobile_monitoring, -,
13,MA200-0420,54,2023-05-06,2023-05-06,14:05:00,14:26:00,mobile_monitoring, -,
14,MA200-0420,54,2023-05-06,2023-05-06,14:28:00,14:52:00,mobile_monitoring, -,
15,MA200-0420,54,2023-05-06,2023-05-06,15:07:00,15:38:00,mobile_monitoring, -,
16,MA200-0420,54,2023-05-06,2023-05-06,15:46:00,16:03:00,mobile_monitoring, -,
17,MA200-0420,55,2023-05-07,2023-05-07,08:55:00,09:22:00,mobile_monitoring, -,
18,MA200-0420,55,2023-05-07,2023-05-07,09:27:00,10:00:00,mobile_monitoring, -,
19,MA200-0420,55,2023-05-07,2023-05-07,10:09:00,10:28:00,mobile_monitoring, -,
20,MA200-0420,55,2023-05-07,2023-05-07,10:38:00,11:22:00,mobile_monitoring, -,
21,MA200-0420,56,2023-05-07,2023-05-07,14:12:00,14:40:00,mobile_monitoring, -,
22,MA200-0420,56,2023-05-07,2023-05-07,14:43:00,15:13:00,mobile_monitoring, -,
23,MA200-0420,56,2023-05-07,2023-05-07,15:30:00,15:49:00,mobile_monitoring, -,
24,MA200-0420,56,2023-05-07,2023-05-07,16:01:00,16:32:00,mobile_monitoring, -,
25,MA200-0416,58,2023-05-07,2023-05-07,08:55:00,09:22:00,mobile_monitoring, -,
26,MA200-0416,58,2023-05-07,2023-05-07,09:27:00,10:00:00,mobile_monitoring, -,
27,MA200-0416,58,2023-05-07,2023-05-07,10:09:00,10:28:00,mobile_monitoring, -,
28,MA200-0416,58,2023-05-07,2023-05-07,10:38:00,11:22:00,mobile_monitoring, -,
29,MA200-0416,59,2023-05-07,2023-05-07,14:12:00,14:40:00,mobile_monitoring, -,
30,MA200-0416,59,2023-05-07,2023-05-07,14:41:00,15:13:00,mobile_monitoring, -,
31,MA200-0416,59,2023-05-07,2023-05-07,15:30:00,15:49:00,mobile_monitoring, -,
32,MA200-0416,59,2023-05-07,2023-05-07,16:01:00,16:32:00,mobile_monitoring, -,
33,MA200-0416,60,2023-05-09,2023-05-09,08:54:00,09:16:00,mobile_monitoring, -,
