id_road_type,id,serial_number,session_id,date_start,date_end,start_time,end_time,exp_type,type_of_road
1,9,MA200-0420,53,2023-05-06,2023-05-06,09:26:30,09:49:00,mobile_monitoring,main_road
2,9,MA200-0420,53,2023-05-06,2023-05-06,09:04:30,09:26:00,mobile_monitoring,non_main_road
3,10,MA200-0420,53,2023-05-06,2023-05-06,09:50:00,10:12:00,mobile_monitoring,non_main_road
4,11,MA200-0420,53,2023-05-06,2023-05-06,10:26:00,10:28:30,mobile_monitoring,main_road
5,11,MA200-0420,53,2023-05-06,2023-05-06,10:54:30,10:59:00,mobile_monitoring,main_road
6,11,MA200-0420,53,2023-05-06,2023-05-06,10:29:00,10:54:00,mobile_monitoring,non_main_road
7,12,MA200-0420,53,2023-05-06,2023-05-06,11:20:00,11:22:30,mobile_monitoring,main_road
8,12,MA200-0420,53,2023-05-06,2023-05-06,11:09:00,11:19:30,mobile_monitoring,non_main_road
9,12,MA200-0420,53,2023-05-06,2023-05-06,11:23:00,11:27:00,mobile_monitoring,non_main_road
10,13,MA200-0420,54,2023-05-06,2023-05-06,14:05:29,14:07:29,mobile_monitoring,main_road
11,13,MA200-0420,54,2023-05-06,2023-05-06,14:07:30,14:26:00,mobile_monitoring,non_main_road
12,14,MA200-0420,54,2023-05-06,2023-05-06,14:28:00,14:52:00,mobile_monitoring,non_main_road
13,15,MA200-0420,54,2023-05-06,2023-05-06,15:07:29,15:09:59,mobile_monitoring,main_road
14,15,MA200-0420,54,2023-05-06,2023-05-06,15:33:59,15:37:59,mobile_monitoring,main_road
15,15,MA200-0420,54,2023-05-06,2023-05-06,15:10:00,15:33:00,mobile_monitoring,non_main_road
16,16,MA200-0420,54,2023-05-06,2023-05-06,15:56:59,15:58:59,mobile_monitoring,main_road
17,16,MA200-0420,54,2023-05-06,2023-05-06,15:46:00,15:56:30,mobile_monitoring,non_main_road
18,16,MA200-0420,54,2023-05-06,2023-05-06,15:59:00,16:03:00,mobile_monitoring,non_main_road
19,17,MA200-0420,55,2023-05-07,2023-05-07,08:55:00,09:12:00,mobile_monitoring,non_main_road
20,17,MA200-0420,55,2023-05-07,2023-05-07,09:12:30,09:21:30,mobile_monitoring,main_road
21,18,MA200-0420,55,2023-05-07,2023-05-07,09:27:30,09:39:30,mobile_monitoring,non_main_road
22,18,MA200-0420,55,2023-05-07,2023-05-07,09:50:30,10:00:00,mobile_monitoring,non_main_road
23,18,MA200-0420,55,2023-05-07,2023-05-07,09:40:00,09:50:00,mobile_monitoring,main_road
24,19,MA200-0420,55,2023-05-07,2023-05-07,10:09:30,10:28:00,mobile_monitoring,non_main_road
25,20,MA200-0420,55,2023-05-07,2023-05-07,10:40:30,11:22:00,mobile_monitoring,non_main_road
26,21,MA200-0420,56,2023-05-07,2023-05-07,14:12:00,14:28:00,mobile_monitoring,non_main_road
27,21,MA200-0420,56,2023-05-07,2023-05-07,14:28:30,14:40:00,mobile_monitoring,main_road
28,22,MA200-0420,56,2023-05-07,2023-05-07,14:44:00,14:54:00,mobile_monitoring,non_main_road
29,22,MA200-0420,56,2023-05-07,2023-05-07,14:54:30,14:59:30,mobile_monitoring,main_road
30,22,MA200-0420,56,2023-05-07,2023-05-07,15:00:00,15:04:30,mobile_monitoring,non_main_road
31,22,MA200-0420,56,2023-05-07,2023-05-07,15:05:00,15:08:30,mobile_monitoring,main_road
32,22,MA200-0420,56,2023-05-07,2023-05-07,15:09:00,15:13:00,mobile_monitoring,non_main_road
33,23,MA200-0420,56,2023-05-07,2023-05-07,15:30:00,15:49:00,mobile_monitoring,non_main_road
34,24,MA200-0420,56,2023-05-07,2023-05-07,16:02:30,16:29:30,mobile_monitoring,non_main_road
35,25,MA200-0416,58,2023-05-07,2023-05-07,08:55:00,09:12:00,mobile_monitoring,non_main_road
36,25,MA200-0416,58,2023-05-07,2023-05-07,09:12:04,09:22:00,mobile_monitoring,main_road
37,26,MA200-0416,58,2023-05-07,2023-05-07,09:27:05,09:40:00,mobile_monitoring,non_main_road
38,26,MA200-0416,58,2023-05-07,2023-05-07,09:40:04,09:45:04,mobile_monitoring,main_road
39,26,MA200-0416,58,2023-05-07,2023-05-07,09:45:34,09:50:00,mobile_monitoring,non_main_road
40,26,MA200-0416,58,2023-05-07,2023-05-07,09:50:04,09:54:00,mobile_monitoring,main_road
41,26,MA200-0416,58,2023-05-07,2023-05-07,09:54:04,10:00:00,mobile_monitoring,non_main_road
42,27,MA200-0416,58,2023-05-07,2023-05-07,10:09:00,10:28:00,mobile_monitoring,non_main_road
43,28,MA200-0416,58,2023-05-07,2023-05-07,10:40:05,11:22:00,mobile_monitoring,non_main_road
44,29,MA200-0416,59,2023-05-07,2023-05-07,14:12:00,14:28:00,mobile_monitoring,non_main_road
45,29,MA200-0416,59,2023-05-07,2023-05-07,14:28:30,14:40:00,mobile_monitoring,main_road
46,30,MA200-0416,59,2023-05-07,2023-05-07,14:43:30,14:54:30,mobile_monitoring,non_main_road
47,30,MA200-0416,59,2023-05-07,2023-05-07,14:55:00,14:59:30,mobile_monitoring,main_road
48,30,MA200-0416,59,2023-05-07,2023-05-07,15:00:00,15:04:30,mobile_monitoring,non_main_road
49,30,MA200-0416,59,2023-05-07,2023-05-07,15:05:00,15:08:30,mobile_monitoring,main_road
50,30,MA200-0416,59,2023-05-07,2023-05-07,15:09:00,15:13:00,mobile_monitoring,non_main_road
51,31,MA200-0416,59,2023-05-07,2023-05-07,15:30:00,15:49:00,mobile_monitoring,non_main_road
52,32,MA200-0416,59,2023-05-07,2023-05-07,16:03:00,16:29:30,mobile_monitoring,non_main_road
53,33,MA200-0416,60,2023-05-09,2023-05-09,08:54:00,09:05:00,mobile_monitoring,non_main_road
54,33,MA200-0416,60,2023-05-09,2023-05-09,09:05:30,09:16:00,mobile_monitoring,main_road
55,34,MA200-0416,60,2023-05-09,2023-05-09,09:20:30,09:31:00,mobile_monitoring,non_main_road
56,34,MA200-0416,60,2023-05-09,2023-05-09,09:31:30,09:36:00,mobile_monitoring,main_road
57,34,MA200-0416,60,2023-05-09,2023-05-09,09:36:30,09:41:30,mobile_monitoring,non_main_road
58,34,MA200-0416,60,2023-05-09,2023-05-09,09:42:00,09:45:00,mobile_monitoring,main_road
59,34,MA200-0416,60,2023-05-09,2023-05-09,09:45:30,09:48:00,mobile_monitoring,non_main_road
60,35,MA200-0416,60,2023-05-09,2023-05-09,10:01:00,10:20:00,mobile_monitoring,non_main_road
61,36,MA200-0416,60,2023-05-09,2023-05-09,10:33:30,11:04:00,mobile_monitoring,non_main_road
62,37,MA200-0416,61,2023-05-09,2023-05-09,14:02:00,14:14:50,mobile_monitoring,non_main_road
63,37,MA200-0416,61,2023-05-09,2023-05-09,14:14:59,14:30:00,mobile_monitoring,main_road
64,38,MA200-0416,61,2023-05-09,2023-05-09,14:35:00,14:47:00,mobile_monitoring,non_main_road
65,38,MA200-0416,61,2023-05-09,2023-05-09,14:47:28,14:51:59,mobile_monitoring,main_road
66,38,MA200-0416,61,2023-05-09,2023-05-09,14:52:00,14:57:30,mobile_monitoring,non_main_road
67,38,MA200-0416,61,2023-05-09,2023-05-09,14:58:00,15:01:30,mobile_monitoring,main_road
68,38,MA200-0416,61,2023-05-09,2023-05-09,15:01:59,15:06:00,mobile_monitoring,non_main_road
69,39,MA200-0416,61,2023-05-09,2023-05-09,15:18:00,15:37:00,mobile_monitoring,non_main_road
70,40,MA200-0416,61,2023-05-09,2023-05-09,15:52:30,16:26:00,mobile_monitoring,non_main_road
71,41,MA200-0416,62,2023-05-10,2023-05-10,08:57:30,09:21:30,mobile_monitoring,non_main_road
72,41,MA200-0416,62,2023-05-10,2023-05-10,09:22:00,09:27:00,mobile_monitoring,main_road
73,42,MA200-0416,62,2023-05-10,2023-05-10,09:35:00,10:04:00,mobile_monitoring,non_main_road
74,43,MA200-0416,62,2023-05-10,2023-05-10,11:12:00,11:14:00,mobile_monitoring,main_road
75,43,MA200-0416,62,2023-05-10,2023-05-10,11:14:30,11:34:30,mobile_monitoring,non_main_road
76,43,MA200-0416,62,2023-05-10,2023-05-10,11:35:00,11:39:00,mobile_monitoring,main_road
77,44,MA200-0416,62,2023-05-10,2023-05-10,11:46:00,11:58:30,mobile_monitoring,non_main_road
78,44,MA200-0416,62,2023-05-10,2023-05-10,12:01:30,12:06:00,mobile_monitoring,non_main_road
79,44,MA200-0416,62,2023-05-10,2023-05-10,11:59:00,12:01:00,mobile_monitoring,main_road
80,45,MA200-0416,62,2023-05-10,2023-05-10,13:56:00,14:13:00,mobile_monitoring,non_main_road
81,45,MA200-0416,62,2023-05-10,2023-05-10,14:13:30,14:15:00,mobile_monitoring,main_road
82,45,MA200-0416,62,2023-05-10,2023-05-10,14:15:30,14:21:00,mobile_monitoring,non_main_road
83,46,MA200-0416,62,2023-05-10,2023-05-10,14:24:00,14:51:00,mobile_monitoring,non_main_road
84,47,MA200-0416,62,2023-05-10,2023-05-10,15:22:00,15:24:30,mobile_monitoring,main_road
85,47,MA200-0416,62,2023-05-10,2023-05-10,15:25:00,15:43:00,mobile_monitoring,non_main_road
86,47,MA200-0416,62,2023-05-10,2023-05-10,15:43:30,15:46:00,mobile_monitoring,main_road
87,48,MA200-0416,62,2023-05-10,2023-05-10,15:54:00,16:03:30,mobile_monitoring,non_main_road
88,48,MA200-0416,62,2023-05-10,2023-05-10,16:06:00,16:10:00,mobile_monitoring,non_main_road
89,48,MA200-0416,62,2023-05-10,2023-05-10,16:04:00,16:05:30,mobile_monitoring,main_road
90,49,MA200-0416,63,2023-05-11,2023-05-11,09:01:00,09:20:00,mobile_monitoring,non_main_road
91,50,MA200-0416,63,2023-05-11,2023-05-11,09:33:30,10:05:00,mobile_monitoring,non_main_road
92,51,MA200-0416,63,2023-05-11,2023-05-11,10:21:00,10:40:00,mobile_monitoring,non_main_road
93,51,MA200-0416,63,2023-05-11,2023-05-11,10:40:30,10:48:00,mobile_monitoring,main_road
94,52,MA200-0416,63,2023-05-11,2023-05-11,10:54:30,11:05:00,mobile_monitoring,non_main_road
95,52,MA200-0416,63,2023-05-11,2023-05-11,11:05:30,11:10:00,mobile_monitoring,main_road
96,52,MA200-0416,63,2023-05-11,2023-05-11,11:10:30,11:15:30,mobile_monitoring,non_main_road
97,52,MA200-0416,63,2023-05-11,2023-05-11,11:16:00,11:19:30,mobile_monitoring,main_road
98,52,MA200-0416,63,2023-05-11,2023-05-11,11:20:00,11:22:00,mobile_monitoring,non_main_road
99,53,MA200-0416,64,2023-05-11,2023-05-11,14:29:00,14:49:00,mobile_monitoring,non_main_road
100,54,MA200-0416,64,2023-05-11,2023-05-11,15:01:30,15:31:00,mobile_monitoring,non_main_road
101,55,MA200-0416,64,2023-05-11,2023-05-11,15:45:00,16:02:00,mobile_monitoring,non_main_road
102,55,MA200-0416,64,2023-05-11,2023-05-11,16:02:30,16:11:00,mobile_monitoring,main_road
103,56,MA200-0416,64,2023-05-11,2023-05-11,16:18:30,16:28:30,mobile_monitoring,non_main_road
104,56,MA200-0416,64,2023-05-11,2023-05-11,16:29:00,16:34:00,mobile_monitoring,main_road
105,56,MA200-0416,64,2023-05-11,2023-05-11,16:34:30,16:39:00,mobile_monitoring,non_main_road
106,56,MA200-0416,64,2023-05-11,2023-05-11,16:39:30,16:43:00,mobile_monitoring,main_road
107,56,MA200-0416,64,2023-05-11,2023-05-11,16:43:30,16:46:00,mobile_monitoring,non_main_road
108,57,MA200-0416,65,2023-05-12,2023-05-12,09:14:00,09:15:30,mobile_monitoring,main_road
109,57,MA200-0416,65,2023-05-12,2023-05-12,09:16:00,09:32:30,mobile_monitoring,non_main_road
110,57,MA200-0416,65,2023-05-12,2023-05-12,09:33:00,09:39:00,mobile_monitoring,main_road
111,58,MA200-0416,65,2023-05-12,2023-05-12,09:42:00,09:52:00,mobile_monitoring,non_main_road
112,58,MA200-0416,65,2023-05-12,2023-05-12,09:52:30,09:54:00,mobile_monitoring,main_road
113,58,MA200-0416,65,2023-05-12,2023-05-12,09:54:30,10:01:30,mobile_monitoring,non_main_road
114,59,MA200-0416,65,2023-05-12,2023-05-12,10:28:00,10:40:30,mobile_monitoring,non_main_road
115,59,MA200-0416,65,2023-05-12,2023-05-12,10:41:00,10:43:00,mobile_monitoring,main_road
116,59,MA200-0416,65,2023-05-12,2023-05-12,10:43:30,10:49:00,mobile_monitoring,non_main_road
117,60,MA200-0416,65,2023-05-12,2023-05-12,10:51:00,11:13:00,mobile_monitoring,non_main_road
118,61,MA200-0416,65,2023-05-12,2023-05-12,13:54:00,13:56:00,mobile_monitoring,main_road
