id,event,time,comments,settlement_id
1,Waste burning,07:39:00,,Ndirande
1,Smoke,07:49:00,,Ndirande
1,Waste burning,07:52:00,,Ndirande
2,Smoke smell,08:15:00,,Nyambadwe
2,Biomass burning,08:19:00,,Nyambadwe
2,Biomass burning,08:20:00,same as before,Nyambadwe
2,Biomass burning,08:27:00,,Nyambadwe
2,Biomass burning,08:28:00,same as before,Nyambadwe
2,Biomass burning,08:30:00,same as before,Nyambadwe
5,Biomass burning,07:37:00,,Namiwawa
6,Waste burning,08:10:00,,Chirimba
6,Smoke,08:13:00,,Chirimba
6,Smoke,08:17:00,,Chirimba
6,Smoke smell,08:19:00,,Chirimba
6,Smoke,08:27:00,,Chirimba
6,Smoke,08:29:00,,Chirimba
6,Smoke,08:34:00,,Chirimba
6,Waste burning,09:00:00,,Chirimba
6,Biomass burning,09:01:00,,Chirimba
9,Biomass burning,09:08:00,,Sunnyside
9,Biomass burning,09:31:00,,Sunnyside
11,Smoke,10:45:00,,Naperi
11,Waste burning,10:47:00,plastic,Naperi
12,Smoke,11:10:00,far away from driving location,Bangwe
12,Smoke smell,11:18:00,,Bangwe
12,Smoke smell,11:23:00,,Bangwe
12,Smoke,11:26:00,far away from driving location,Bangwe
14,Waste burning,14:42:00,,Naperi
15,Smoke,15:34:00,far away from driving location,Kacheri
15,Smoke,15:36:00,far away from driving location,Kacheri
33,Smoke,09:01:00,far away from driving location,Ndirande
33,Biomass burning,09:03:00,,Ndirande
35,Biomass burning,10:14:00,,Namiwawa
35,Smoke,10:15:00,far away from driving location,Namiwawa
36,Smoke,10:41:00,,Chirimba
37,Smoke,14:05:00,,Ndirande
37,Biomass burning,14:06:00,,Ndirande
37,Waste burning,14:12:00,,Ndirande
37,Smoke,14:29:00,,Ndirande
38,Biomass burning,14:54:00,sugarcane waste,Nyambadwe
39,Biomass burning,15:20:00,,Namiwawa
39,Biomass burning,15:23:00,cars also passed during this time,Namiwawa
39,Smoke,15:26:00,far away from driving location,Namiwawa
40,Smoke,16:09:00,,Chirimba
49,Smoke smell,09:06:00,,Namiwawa
49,Smoke smell,09:09:00,,Namiwawa
49,Biomass burning,09:16:00,,Namiwawa
50,Smoke,09:41:00,,Chirimba
50,Waste burning,09:44:00,,Chirimba
50,Waste burning,09:45:00,same as before,Chirimba
50,Waste burning,10:02:00,,Chirimba
50,Cooking,10:02:00,,Chirimba
52,Smoke smell,10:58:00,,Nyambadwe
52,Smoke,10:58:00,far away from driving location,Nyambadwe
52,Smoke smell,11:07:00,,Nyambadwe
52,Smoke,11:15:00,far away from driving location,Nyambadwe
52,Waste burning,11:21:00,,Nyambadwe
53,Smoke,14:29:00,,Namiwawa
53,Smoke smell,14:35:00,,Namiwawa
53,Biomass burning,14:45:00,,Namiwawa
53,Smoke,14:47:00,,Namiwawa
54,Smoke,15:22:00,far away from driving location,Chirimba
55,Smoke,15:45:00,far away from driving location,Ndirande
55,Smoke smell,15:52:00,,Ndirande
55,Smoke,15:52:00,far away from driving location,Ndirande
56,Waste burning,16:22:00,,Nyambadwe
56,Smoke smell,16:26:00,,Nyambadwe
56,Smoke,16:33:00,far away from driving location,Nyambadwe
56,Waste burning,16:41:00,,Nyambadwe
56,Biomass burning,16:44:00,,Nyambadwe
56,Smoke,16:45:00,,Nyambadwe
73,Smoke smell,09:18:00,,Namiwawa
73,Waste burning,09:22:00,,Namiwawa
73,Smoke,09:22:00,,Namiwawa
74,Smoke,09:45:00,,Chirimba
74,Smoke,09:47:00,,Chirimba
74,Smoke,09:57:00,,Chirimba
76,Smoke,11:29:00,,Nyambadwe
76,Smoke,11:32:00,,Nyambadwe
76,Smoke,11:39:00,,Nyambadwe
76,Smoke,11:42:00,,Nyambadwe
77,Smoke,14:05:00,,Namiwawa
78,Smoke,14:27:00,,Chirimba
78,Smoke,14:33:00,,Chirimba
79,Smoke,15:21:00,,Ndirande
79,Smoke,15:22:00,,Ndirande
80,Smoke,15:49:00,,Nyambadwe
80,Smoke,15:50:00,,Nyambadwe
80,Smoke,15:51:00,,Nyambadwe
