serial_number,session_id,date,time,lat,long,uv_bcc,blue_bcc,ir_bcc,uv_babs,blue_babs,ir_babs,date_time,day_type,id,date_start,date_end,start_time,end_time,exp_type,emission_source
MA200-0416,74,2023-05-16,16:59:30,-15.802902042865751,35.018759828060865,443154,260559,164890,8204825.86410852,3822200.10020043,1283605.23083265,2023-05-16T16:59:30Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
MA200-0416,74,2023-05-16,17:00:00,-15.802898645401,35.018744664266706,210422,137354,88891,3895882.39749036,2014877.52318258,691982.246188035,2023-05-16T17:00:00Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
MA200-0416,74,2023-05-16,17:00:30,-15.80288577079773,35.018733996897936,734252,520106,293355,13594393.371995758,7629554.938861621,2283655.8462666753,2023-05-16T17:00:30Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
MA200-0416,74,2023-05-16,17:01:00,-15.802880346775057,35.018719494342804,671815,465730,265236,12438396.3315147,6831900.846512101,2064760.2462558602,2023-05-16T17:01:00Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
MA200-0416,74,2023-05-16,17:01:30,-15.802890360355375,35.01872466132045,45410,36755,24193,840748.6844058,539167.57695135,188333.200009305,2023-05-16T17:01:30Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
MA200-0416,74,2023-05-16,17:02:00,-15.80288988351822,35.01872049458325,1112057,700612,365036,20589307.635636657,10277439.10823124,2841664.86167886,2023-05-16T17:02:00Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
MA200-0416,74,2023-05-16,17:02:30,-15.80288189649582,35.01872316002846,485521,327615,186089,8989234.57391298,4805860.03871355,1448631.2923792652,2023-05-16T17:02:30Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
MA200-0416,74,2023-05-16,17:03:00,-15.802890539169312,35.018721329048276,109121,83208,51892,2020333.3448809797,1220597.35391016,403959.26155842,2023-05-16T17:03:00Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
MA200-0416,74,2023-05-16,17:03:30,-15.80288392305374,35.018719494342804,312107,242428,146488,5778541.06240566,3556232.27710956,1140352.73851788,2023-05-16T17:03:30Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
MA200-0416,74,2023-05-16,17:04:00,-15.802871584892271,35.018691493198276,593808,495115,328677,10994126.72956704,7262956.19268855,2558624.0308956453,2023-05-16T17:04:00Z,weekday,121,2023-05-16,2023-05-16,2023-05-16T16:55:00Z,2023-05-16T17:15:00Z,cooking,Wood
