serial_number,session_id,date,time,lat,long,uv_bcc,blue_bcc,ir_bcc,uv_babs,blue_babs,ir_babs,date_time,day_type,id,date_start,date_end,start_time,end_time,exp_type,settlement_id,time_of_day,type_of_settlement
MA200-0416,54,2023-05-03,07:55:00,-15.794650077819824,35.00386483268812,5133,3451,1863,95035.52074554,50623.51538727,14502.738462255,2023-05-03T07:55:00Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,07:55:30,-15.794636905193329,35.00385766592808,10341,7767,6968,191459.63764457998,113935.91539059,54243.20000268,2023-05-03T07:55:30Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,07:56:00,-15.794570326805117,35.003775499761105,13207,7889,5247,244522.52532365997,115725.56154453,40845.876925095,2023-05-03T07:56:00Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,07:56:30,-15.794358551502228,35.00268616597168,8863,6042,3702,164095.03611294,88631.49231234001,28818.646155270002,2023-05-03T07:56:30Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,07:57:00,-15.795100033283234,35.00163283327129,5884,4017,3281,108939.99689591999,58926.30000309,25541.323078185,2023-05-03T07:57:00Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,07:57:30,-15.795506060123444,35.00019249996694,5778,4320,4527,106977.44766564,63371.076926400005,35240.953847895005,2023-05-03T07:57:30Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,07:58:00,-15.795526087284088,34.99890053272247,2108,1788,838,39028.80922104,26228.58461676,6523.507692630001,2023-05-03T07:58:00Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,07:58:30,-15.79547667503357,34.99741196632385,7779,6330,4925,144025.19304102,92856.2307741,38339.230771125,2023-05-03T07:58:30Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,07:59:00,-15.795473277568815,34.9960241317749,8665,7260,7289,160429.1422677,106498.61539020001,56742.061541265,2023-05-03T07:59:00Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,07:59:30,-15.795416831970217,34.99454337358475,7363,6151,5184,136323.11304293998,90230.43846627,40355.44615584,2023-05-03T07:59:30Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,08:00:00,-15.7955482006073,34.99337923526764,13636,12776,12785,252465.29532168,187414.09231752,99526.307697225,2023-05-03T08:00:00Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,08:00:30,-15.796397984027864,34.99274134635925,4681,3786,2733,86666.91459377999,55537.70769522,21275.353847205002,2023-05-03T08:00:30Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
MA200-0416,54,2023-05-03,08:01:00,-15.797144055366516,34.99227690696716,6000,4971,4465,111087.69227999999,72920.74615767,34758.307694025,2023-05-03T08:01:00Z,weekday,3,2023-05-03,2023-05-03,2023-05-03T07:55:00Z,2023-05-03T08:41:00Z,mobile_monitoring,Sunnyside,Morning,Formal
