serial_number,session_id,date,time,lat,long,uv_bcc,blue_bcc,ir_bcc,uv_babs,blue_babs,ir_babs,date_time,day_type,id,date_start,date_end,start_time,end_time,exp_type,settlement_id,time_of_day,type_of_settlement
MA200-0416,80,2023-05-24,09:53:00,-15.787905991077425,35.085356660187244,2238,1178,1722,41435.709220439996,17280.35384706,13405.107692970001,2023-05-24T09:53:00Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
MA200-0416,80,2023-05-24,09:53:30,-15.788090109825134,35.085432313382626,4617,2166,2059,85481.97920946,31773.55384782,16028.523077715001,2023-05-24T09:53:30Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
MA200-0416,80,2023-05-24,09:54:00,-15.78815084695816,35.08556831628084,2981,1892,1681,55192.068447779995,27754.18461684,13085.938462185,2023-05-24T09:54:00Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
MA200-0416,80,2023-05-24,09:54:30,-15.788221955299376,35.085839316248894,2725,1547,1769,50452.32691049999,22693.30000119,13770.984616065001,2023-05-24T09:54:30Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
MA200-0416,80,2023-05-24,09:55:00,-15.788350403308868,35.085890144109726,2037,1174,1549,37714.271529059995,17221.67692398,12058.369231365,2023-05-24T09:55:00Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
MA200-0416,80,2023-05-24,09:55:30,-15.788557171821594,35.085794657468796,1833,966,1641,33937.28999154,14170.47692382,12774.553846785,2023-05-24T09:55:30Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
MA200-0416,80,2023-05-24,09:56:00,-15.788764655590056,35.08581232279539,2579,1230,1569,47749.193065019994,18043.153847100002,12214.061539065,2023-05-24T09:56:00Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
MA200-0416,80,2023-05-24,09:56:30,-15.788821637630464,35.085941307246685,1902,1213,1876,35214.79845276,17793.77692401,14603.938462260001,2023-05-24T09:56:30Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
MA200-0416,80,2023-05-24,09:57:00,-15.788769841194153,35.086103320121765,2594,1650,1464,48026.912295719994,24204.230770500002,11396.676923640001,2023-05-24T09:57:00Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
MA200-0416,80,2023-05-24,09:57:30,-15.78887951374054,35.08627447485924,3567,1070,2277,66041.63306046,15696.0769239,17725.569231645,2023-05-24T09:57:30Z,weekday,94,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,Kacheri,first_half,Informal
